"","data_action"
"8937","Policy Change"
"8938","Policy Change"
"8939","Policy Change"
"8940","First Party Collection/Use"
"8941","First Party Collection/Use"
"8942","First Party Collection/Use"
"8943","First Party Collection/Use"
"8944","First Party Collection/Use"
"8945","First Party Collection/Use"
"8946","Third Party Sharing/Collection"
"8947","Third Party Sharing/Collection"
"8948","Third Party Sharing/Collection"
"8949","Third Party Sharing/Collection"
"8950","First Party Collection/Use"
"8951","Third Party Sharing/Collection"
"8952","Third Party Sharing/Collection"
"8953","Third Party Sharing/Collection"
"8954","First Party Collection/Use"
"8955","First Party Collection/Use"
"8956","First Party Collection/Use"
"8957","First Party Collection/Use"
"8958","First Party Collection/Use"
"8959","Third Party Sharing/Collection"
"8960","Third Party Sharing/Collection"
"8961","Third Party Sharing/Collection"
"8962","Other"
"8963","First Party Collection/Use"
"8964","First Party Collection/Use"
"8965","First Party Collection/Use"
"8966","Third Party Sharing/Collection"
"8967","Third Party Sharing/Collection"
"8968","User Choice/Control"
"8969","User Choice/Control"
"8970","First Party Collection/Use"
"8971","First Party Collection/Use"
"8972","First Party Collection/Use"
"8973","Third Party Sharing/Collection"
"8974","Third Party Sharing/Collection"
"8975","First Party Collection/Use"
"8976","First Party Collection/Use"
"8977","First Party Collection/Use"
"8978","First Party Collection/Use"
"8979","First Party Collection/Use"
"8980","First Party Collection/Use"
"8981","Third Party Sharing/Collection"
"8982","Third Party Sharing/Collection"
"8983","Third Party Sharing/Collection"
"8984","Third Party Sharing/Collection"
"8985","Third Party Sharing/Collection"
"8986","Third Party Sharing/Collection"
"8987","First Party Collection/Use"
"8988","First Party Collection/Use"
"8989","Third Party Sharing/Collection"
"8990","Third Party Sharing/Collection"
"8991","First Party Collection/Use"
"8992","Third Party Sharing/Collection"
"8993","Third Party Sharing/Collection"
"8994","First Party Collection/Use"
"8995","First Party Collection/Use"
"8996","Third Party Sharing/Collection"
"8997","First Party Collection/Use"
"8998","Third Party Sharing/Collection"
"8999","First Party Collection/Use"
"9000","Third Party Sharing/Collection"
"9001","First Party Collection/Use"
"9002","Third Party Sharing/Collection"
"9003","First Party Collection/Use"
"9004","Third Party Sharing/Collection"
"9005","User Choice/Control"
"9006","User Choice/Control"
"9007","User Choice/Control"
"9008","User Choice/Control"
"9009","Other"
"9010","Other"
"9011","International and Specific Audiences"
"9012","Other"
"9013","Policy Change"
"9014","Policy Change"
"9015","Policy Change"
"9016","First Party Collection/Use"
"9017","First Party Collection/Use"
"9018","First Party Collection/Use"
"9019","First Party Collection/Use"
"9020","First Party Collection/Use"
"9021","First Party Collection/Use"
"9022","First Party Collection/Use"
"9023","First Party Collection/Use"
"9024","Other"
"9025","First Party Collection/Use"
"9026","First Party Collection/Use"
"9027","First Party Collection/Use"
"9028","First Party Collection/Use"
"9029","First Party Collection/Use"
"9030","First Party Collection/Use"
"9031","First Party Collection/Use"
"9032","First Party Collection/Use"
"9033","First Party Collection/Use"
"9034","First Party Collection/Use"
"9035","Other"
"9036","First Party Collection/Use"
"9037","First Party Collection/Use"
"9038","First Party Collection/Use"
"9039","First Party Collection/Use"
"9040","First Party Collection/Use"
"9041","First Party Collection/Use"
"9042","Data Retention"
"9043","First Party Collection/Use"
"9044","First Party Collection/Use"
"9045","Data Retention"
"9046","Data Security"
"9047","Third Party Sharing/Collection"
"9048","Data Retention"
"9049","Data Retention"
"9050","Third Party Sharing/Collection"
"9051","Data Security"
"9052","Other"
"9053","Third Party Sharing/Collection"
"9054","Third Party Sharing/Collection"
"9055","Third Party Sharing/Collection"
"9056","Third Party Sharing/Collection"
"9057","Other"
"9058","First Party Collection/Use"
"9059","First Party Collection/Use"
"9060","First Party Collection/Use"
"9061","First Party Collection/Use"
"9062","First Party Collection/Use"
"9063","First Party Collection/Use"
"9064","First Party Collection/Use"
"9065","First Party Collection/Use"
"9066","First Party Collection/Use"
"9067","First Party Collection/Use"
"9068","First Party Collection/Use"
"9069","First Party Collection/Use"
"9070","First Party Collection/Use"
"9071","First Party Collection/Use"
"9072","First Party Collection/Use"
"9073","First Party Collection/Use"
"9074","First Party Collection/Use"
"9075","First Party Collection/Use"
"9076","First Party Collection/Use"
"9077","First Party Collection/Use"
"9078","First Party Collection/Use"
"9079","First Party Collection/Use"
"9080","First Party Collection/Use"
"9081","First Party Collection/Use"
"9082","First Party Collection/Use"
"9083","First Party Collection/Use"
"9084","Other"
"9085","Third Party Sharing/Collection"
"9086","Third Party Sharing/Collection"
"9087","Third Party Sharing/Collection"
"9088","International and Specific Audiences"
"9089","International and Specific Audiences"
"9090","Other"
"9091","Third Party Sharing/Collection"
"9092","Data Security"
"9093","International and Specific Audiences"
"9094","User Choice/Control"
"9095","User Choice/Control"
"9096","Other"
"9097","User Choice/Control"
"9098","User Choice/Control"
"9099","User Choice/Control"
"9100","Other"
"9101","User Choice/Control"
"9102","User Choice/Control"
"9103","User Choice/Control"
"9104","Third Party Sharing/Collection"
"9105","User Choice/Control"
"9106","Third Party Sharing/Collection"
"9107","Data Security"
"9108","Data Security"
"9109","Data Security"
"9110","Data Security"
"9111","International and Specific Audiences"
"9112","International and Specific Audiences"
"9113","First Party Collection/Use"
"9114","First Party Collection/Use"
"9115","First Party Collection/Use"
"9116","First Party Collection/Use"
"9117","International and Specific Audiences"
"9118","International and Specific Audiences"
"9119","International and Specific Audiences"
"9120","Other"
"9121","Other"
"9122","User Choice/Control"
"9123","User Choice/Control"
"9124","User Choice/Control"
"9125","Other"
"9126","Other"
"9127","Policy Change"
"9128","First Party Collection/Use"
"9129","First Party Collection/Use"
"9130","Third Party Sharing/Collection"
"9131","Third Party Sharing/Collection"
"9132","Other"
"9133","First Party Collection/Use"
"9134","First Party Collection/Use"
"9135","First Party Collection/Use"
"9136","Third Party Sharing/Collection"
"9137","Other"
"9138","Policy Change"
"9139","Other"
"9140","Policy Change"
"9141","Other"
"9142","First Party Collection/Use"
"9143","First Party Collection/Use"
"9144","First Party Collection/Use"
"9145","First Party Collection/Use"
"9146","First Party Collection/Use"
"9147","First Party Collection/Use"
"9148","First Party Collection/Use"
"9149","First Party Collection/Use"
"9150","First Party Collection/Use"
"9151","First Party Collection/Use"
"9152","First Party Collection/Use"
"9153","First Party Collection/Use"
"9154","First Party Collection/Use"
"9155","International and Specific Audiences"
"9156","First Party Collection/Use"
"9157","First Party Collection/Use"
"9158","First Party Collection/Use"
"9159","First Party Collection/Use"
"9160","User Access, Edit and Deletion"
"9161","First Party Collection/Use"
"9162","First Party Collection/Use"
"9163","First Party Collection/Use"
"9164","First Party Collection/Use"
"9165","First Party Collection/Use"
"9166","International and Specific Audiences"
"9167","First Party Collection/Use"
"9168","First Party Collection/Use"
"9169","First Party Collection/Use"
"9170","First Party Collection/Use"
"9171","First Party Collection/Use"
"9172","First Party Collection/Use"
"9173","Third Party Sharing/Collection"
"9174","Third Party Sharing/Collection"
"9175","Third Party Sharing/Collection"
"9176","First Party Collection/Use"
"9177","First Party Collection/Use"
"9178","First Party Collection/Use"
"9179","First Party Collection/Use"
"9180","First Party Collection/Use"
"9181","First Party Collection/Use"
"9182","First Party Collection/Use"
"9183","First Party Collection/Use"
"9184","First Party Collection/Use"
"9185","First Party Collection/Use"
"9186","First Party Collection/Use"
"9187","First Party Collection/Use"
"9188","First Party Collection/Use"
"9189","First Party Collection/Use"
"9190","First Party Collection/Use"
"9191","International and Specific Audiences"
"9192","First Party Collection/Use"
"9193","First Party Collection/Use"
"9194","First Party Collection/Use"
"9195","First Party Collection/Use"
"9196","First Party Collection/Use"
"9197","First Party Collection/Use"
"9198","First Party Collection/Use"
"9199","First Party Collection/Use"
"9200","First Party Collection/Use"
"9201","First Party Collection/Use"
"9202","First Party Collection/Use"
"9203","Third Party Sharing/Collection"
"9204","Third Party Sharing/Collection"
"9205","Third Party Sharing/Collection"
"9206","Third Party Sharing/Collection"
"9207","Third Party Sharing/Collection"
"9208","Third Party Sharing/Collection"
"9209","Third Party Sharing/Collection"
"9210","Third Party Sharing/Collection"
"9211","Third Party Sharing/Collection"
"9212","Third Party Sharing/Collection"
"9213","Third Party Sharing/Collection"
"9214","Third Party Sharing/Collection"
"9215","Third Party Sharing/Collection"
"9216","Third Party Sharing/Collection"
"9217","Third Party Sharing/Collection"
"9218","Third Party Sharing/Collection"
"9219","Third Party Sharing/Collection"
"9220","Third Party Sharing/Collection"
"9221","Third Party Sharing/Collection"
"9222","Third Party Sharing/Collection"
"9223","Third Party Sharing/Collection"
"9224","Third Party Sharing/Collection"
"9225","Third Party Sharing/Collection"
"9226","Third Party Sharing/Collection"
"9227","Third Party Sharing/Collection"
"9228","Third Party Sharing/Collection"
"9229","Third Party Sharing/Collection"
"9230","Third Party Sharing/Collection"
"9231","Third Party Sharing/Collection"
"9232","Third Party Sharing/Collection"
"9233","Third Party Sharing/Collection"
"9234","Third Party Sharing/Collection"
"9235","Third Party Sharing/Collection"
"9236","Third Party Sharing/Collection"
"9237","Third Party Sharing/Collection"
"9238","Third Party Sharing/Collection"
"9239","Third Party Sharing/Collection"
"9240","Third Party Sharing/Collection"
"9241","Third Party Sharing/Collection"
"9242","Third Party Sharing/Collection"
"9243","First Party Collection/Use"
"9244","First Party Collection/Use"
"9245","First Party Collection/Use"
"9246","First Party Collection/Use"
"9247","First Party Collection/Use"
"9248","First Party Collection/Use"
"9249","First Party Collection/Use"
"9250","Third Party Sharing/Collection"
"9251","Third Party Sharing/Collection"
"9252","First Party Collection/Use"
"9253","First Party Collection/Use"
"9254","First Party Collection/Use"
"9255","Third Party Sharing/Collection"
"9256","Third Party Sharing/Collection"
"9257","First Party Collection/Use"
"9258","First Party Collection/Use"
"9259","First Party Collection/Use"
"9260","First Party Collection/Use"
"9261","Third Party Sharing/Collection"
"9262","First Party Collection/Use"
"9263","First Party Collection/Use"
"9264","User Choice/Control"
"9265","User Choice/Control"
"9266","User Choice/Control"
"9267","User Choice/Control"
"9268","Third Party Sharing/Collection"
"9269","First Party Collection/Use"
"9270","First Party Collection/Use"
"9271","Third Party Sharing/Collection"
"9272","First Party Collection/Use"
"9273","First Party Collection/Use"
"9274","Third Party Sharing/Collection"
"9275","Third Party Sharing/Collection"
"9276","First Party Collection/Use"
"9277","First Party Collection/Use"
"9278","Third Party Sharing/Collection"
"9279","Third Party Sharing/Collection"
"9280","First Party Collection/Use"
"9281","Third Party Sharing/Collection"
"9282","Third Party Sharing/Collection"
"9283","Do Not Track"
"9284","User Choice/Control"
"9285","Do Not Track"
"9286","Do Not Track"
"9287","Other"
"9288","International and Specific Audiences"
"9289","First Party Collection/Use"
"9290","International and Specific Audiences"
"9291","International and Specific Audiences"
"9292","Data Security"
"9293","Other"
"9294","International and Specific Audiences"
"9295","Data Security"
"9296","Other"
"9297","International and Specific Audiences"
"9298","Other"
"9299","Other"
"9300","Data Security"
"9301","International and Specific Audiences"
"9302","International and Specific Audiences"
